Lambda: 0.000866    best accuracy: 0.501800

Lambda: 0.001527    best accuracy: 0.504700

Lambda: 0.001036    best accuracy: 0.501100

Lambda: 0.000460    best accuracy: 0.484400

Lambda: 0.000715    best accuracy: 0.508100

Lambda: 0.000916    best accuracy: 0.497400

Lambda: 0.000497    best accuracy: 0.500700

Lambda: 0.000492    best accuracy: 0.491500

Lambda: 0.000831    best accuracy: 0.497700

Lambda: 0.000724    best accuracy: 0.495400

